見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
がん患者・家族、県民のための公開講座,テーマ：大切な人の「想い」とともに...講師：清水健氏（キャスター）,,,1月19日（日）13:30～15:00,県立図書館（和歌山市）,,200人（先着順）,,,,電話、ファックスで氏名、電話番号を12月9日から県立医大病院患者支援センター電話073-441-0778　ファックス073-441-0862,,,,https://www.wakayama-med.ac.jp/hospital/,,,
県点字図書館からのお知らせ,(1)バリアフリー映画上映会,映画「湯を沸かすほどの熱い愛」を字幕・音声解説付きで上映,,[1]1月11日（土）[2]12日（日）いずれも13:30～16:00,[1]県立図書館（和歌山市）[2]情報交流センターBig･U（田辺市）,,[1]100人[2]50人（先着順）,,郵送、電話、ファックス、Eメールで住所、氏名、電話番号、希望会場を12月28日までに問合先※手話通訳・要約筆記は要予約,県点字図書館〒640-8319和歌山市手平2-1-2和歌山ビッグ愛5階電話073-488-5721　ファックス073-488-5731Eメール　wakaten@wakaten.jp,,,,,http://wakaten.jp/,,wakaten@wakaten.jp,
県点字図書館からのお知らせ,(2)視覚障害者対象パソコン講習会,,,1月26日、2月23日、3月8日 いずれも日曜9:30～15:30,和歌山ビッグ愛（和歌山市）,,各5人（先着順）,,電話、ファックス、Eメールで住所、氏名、電話（ファックス）番号を1月18日までに問合先,県点字図書館〒640-8319和歌山市手平2-1-2和歌山ビッグ愛5階電話073-488-5721　ファックス073-488-5731Eメール　wakaten@wakaten.jp,,,,,http://wakaten.jp/,,wakaten@wakaten.jp,
県点字図書館からのお知らせ,(3)点字即時情報ネットワーク（JBニュース）,新聞や福祉関係情報を点字、Eメール、電話で発信するサービス,,,,,"3,600円（年間購読料、点字版のみ）",,郵送、電話、ファックス、Eメールで住所、氏名、電話番号、Eメールアドレスを問合先,県点字図書館〒640-8319和歌山市手平2-1-2和歌山ビッグ愛5階電話073-488-5721　ファックス073-488-5731Eメール　wakaten@wakaten.jp,,,,,http://wakaten.jp/,,wakaten@wakaten.jp,
「はじめての手話」講座,,,,(1)12月22日（日）10:00～11:30 御坊保健所(2)1月23日（木）14:00～15:30 西牟婁振興局（田辺市）(3)24日（金）18:30～20:00 和歌山市中央コミュニティセンター(4)25日（土）13:30～15:00 湯浅保健所(5)28日（火）13:30～15:00 橋本保健所(6)30日（木）14:00～15:30 西牟婁振興局（田辺市）(7)2月9日（日）10:00～11:30 新宮保健所串本支所(8)22日（土）14:00～15:30 東牟婁振興局（新宮市）(9)3月3日（火）18:30～20:00 岩出保健所(10)4日（水）18:30～20:00 海南保健所,(1)12月22日（日）10:00～11:30 御坊保健所(2)1月23日（木）14:00～15:30 西牟婁振興局（田辺市）(3)24日（金）18:30～20:00 和歌山市中央コミュニティセンター(4)25日（土）13:30～15:00 湯浅保健所(5)28日（火）13:30～15:00 橋本保健所(6)30日（木）14:00～15:30 西牟婁振興局（田辺市）(7)2月9日（日）10:00～11:30 新宮保健所串本支所(8)22日（土）14:00～15:30 東牟婁振興局（新宮市）(9)3月3日（火）18:30～20:00 岩出保健所(10)4日（水）18:30～20:00 海南保健所,はじめて手話を学ぶ方,,,,,電話で住所、氏名、電話番号を開催1週間前までに各振興局健康福祉部（串本支所）［(3)のみ県庁障害福祉課］※ファックスの場合は会場名を記入のうえ県庁障害福祉課ファックス073-432-5567県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/040400/index.html,,,
保護者向け就活セミナー,保護者としての就活サポート、県内就職のメリット等について,,,12月22日（日）13:00～15:30,県民文化会館（和歌山市）,大学生等の子供がいる保護者、就職活動を控えた学生,80人（先着順）,,,,電話で住所、氏名、電話番号をジョブカフェわかやま電話073-402-5757,,,,,,,
チェーンソー特別教育の追加講習,,,,(1)1月17日（金）和歌山木材会館（和歌山市）(2)2月27日（木）上富田文化会館（上富田町） いずれも13:30～,(1)1月17日（金）和歌山木材会館（和歌山市）(2)2月27日（木）上富田文化会館（上富田町） いずれも13:30～,改正前の労働安全衛生規則第36条第8号を修了された方,(1)50人(2)100人（先着順）,"5,500円（受講料、テキスト代）",,,郵送、持参で所定の申込書（申込先、振興局林務課、労働基準監督署で配布）を(1)12月17日(2)1月28日までに林業・木材製造業労働災害防止協会和歌山県支部〒641-0036和歌山市西浜1660電話073-447-2262,,,,,,,
特別支援教育啓発セミナー,テーマ：なんだか気になる表現者たち講師：櫛野展正氏（クシノテラス主宰）,,,2月9日（日）13:30～15:30,和歌の浦アート・キューブ（和歌山市）,,200人（先着順）,,,,郵送、ファックス、Eメールで住所、氏名、電話番号を1月24日までに県教育庁特別支援教育室ファックス073-441-3652Eメール　e5002001@pref.wakayama.lg.jp※一時保育・手話通訳は要予約※詳しくはウェブサイトを要確認県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/kyouiku/soshiki/500200/index.html,,e5002001@pref.wakayama.lg.jp,
県立産業技術専門学院体験入学,,,,1月11日（土）9:30～,(1)和歌山産業技術専門学院（和歌山市）(2)田辺産業技術専門学院（田辺市）,中学・高校生、一般,,,,,電話、ファックス、インターネットで氏名、電話番号、学校名（学生のみ）、体験希望科を1月9日15:00までに各会場(1)電話073-477-1253　ファックス073-477-1254県ウェブサイトでも掲載(2)電話0739-22-2259　ファックス0739-22-3123県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/060701/,https://www.pref.wakayama.lg.jp/prefg/060702/,,
ひとり親家庭向けパソコン講習会,,,,1月11・18・25日（土）、2月1日（土）・9日（日）【Wordコース】9:30～12:30【Excelコース】13:30～16:30,情報交流センターBig･U（田辺市）,ひとり親家庭の父・母・20歳未満の子供、寡婦で和歌山市以外に在住の方,各15人（両コース申込可）（抽選）,"1,650円（テキスト代）",,,郵送、ファックス、Eメールで住所、氏名、生年月日、電話番号、（一時保育希望者は子供の年齢、人数）を12月18日までに県母子寡婦福祉連合会〒640-8423和歌山市松江中1-4-2電話073-452-2711　ファックス073-499-8620Eメール　w-sumire@naxnet.or.jp,,,,http://www.w-sumirehome.or.jp/,,w-sumire@naxnet.or.jp,
わかやまサイクリングフェスタ2020,,,,3月22日（日）5:00～18:00※前日イベントは3月21日（土）14:00～17:00,和歌山マリーナシティ（和歌山市）,10歳以上の方,"1,000人（先着順）","6,000～12,000円",インターネット（大会公式サイト）で1月31日までにエントリー,大会運営事務局　電話073-425-3211※詳しくはウェブサイトを要確認,,,,,https://sec.tobutoptours.co.jp/2020/cyclingfesta2020/,,,
弁護士、司法書士による借金無料相談会,,,,(1)12月13日（金）17:00～20:00 *県消費生活センター（和歌山市）(2)12月15日（日）13:00～16:00 *県消費生活センター、伊都振興局（橋本市）、日高振興局（御坊市）、東牟婁振興局（新宮市）,(1)12月13日（金）17:00～20:00 *県消費生活センター（和歌山市）(2)12月15日（日）13:00～16:00 *県消費生活センター、伊都振興局（橋本市）、日高振興局（御坊市）、東牟婁振興局（新宮市）,,,,電話で各振興局総務県民課、問合先,県庁県民生活課県ウェブサイトでも掲載,,,,,https://www.pref.wakayama.lg.jp/prefg/031300/index.html,,,
あいサポーター研修（個人向け）,,,,1月18日（土）10:00～12:00,西牟婁振興局（田辺市）,,30人（先着順）,,,,郵送、電話、ファックスで住所、氏名、電話番号を1月10日までに県庁障害福祉課ファックス073-432-5567※午後にあいサポートメッセンジャー研修を開催。詳しくは要問合せ県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/040400/index.html,,,
食の安全意見交換会,テーマ：意外と知らない健康食品のこと,,,1月15日（水）14:00～15:30,情報交流センターBig･U（田辺市）,,30人（先着順）,,,,郵送、電話、ファックス、Eメールで氏名、電話番号を1月10日（一時保育・手話通訳・要約筆記希望者は12月25日）までに県庁食品・生活衛生課ファックス073-432-1952Eメール　e0316001@pref.wakayama.lg.jp県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/031600/index.html,,e0316001@pref.wakayama.lg.jp,
食の安全シンポジウム,テーマ：ゲノム編集技術を利用して得られた食品について,,,2月2日（日）13:30～16:30,和歌山ビッグ愛（和歌山市）,,120人（先着順）,,,,郵送、電話、ファックス、Eメールで住所、氏名、電話番号を1月24日（一時保育・手話通訳・要約筆記希望者は1月14日）までに県庁食品・生活衛生課ファックス073-432-1952Eメール　e0316001@pref.wakayama.lg.jp県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/031600/index.html,,e0316001@pref.wakayama.lg.jp,
わかちあいの会和歌山うめの花 師走の会,講演、ヴァイオリンコンサート、交流会,,,12月14日（土）12:30～16:00,和歌山ビッグ愛（和歌山市）,交流会のみ大切な方を自死で亡くされた方,20人（先着順）,,,,電話、ファックスで氏名、電話番号を12月13日までに県精神保健福祉センター電話073-435-5194　ファックス073-435-5193県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/040400/050301/050301/index1.html,,,
あなただけの就農相談（予約制）,就農に必要な情報提供と個別相談,,,12月22日（日）9:00～16:00（相談時間は90分）,県就農支援センター（御坊市）,,4人（先着順）,,,,電話で住所、氏名、電話番号、相談希望時間、相談内容を12月19日までに会場電話0738-23-3488県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/071601/sintyakujouhou/index.html,,,
県職員をめざす女性のための働き方セミナー,女性の視点からみた県職員のキャリアアップやワークライフバランスについてのフリートークなど,,,12月25日（水）13:00～15:40,県民文化会館（和歌山市）,,40人（先着順）,,,,インターネットで12月17日までに県人事委員会事務局県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/210100/index.html,,,
1・2月開始の職業訓練受講生,就職に有利な専門知識や技能を習得科目：(1)パソコン・総務経理事務科(2)CAD・NC技術科(3)パソコン・簿記事務科(4)パソコン基礎科(5)医療（医科）・調剤事務科,,,,(1)(2)和歌山市(3)御坊市(4)田辺市(5)岩出市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認,,,,https://jsite.mhlw.go.jp/wakayama-roudoukyoku/riyousha_mokuteki_menu/kyushokuchu/201712.html,,,
新春移住相談会,,,,1月4日（土）11:00～16:30,わかやま定住サポートセンター（和歌山市）,,,,,,電話、ファックス、Eメールで住所、氏名、電話番号、相談希望時間を12月27日までにわかやま定住サポートセンター電話073-422-6110　ファックス073-422-6150Eメール　e0222002@pref.wakayama.lg.jp,,,,https://www.wakayamagurashi.jp/,,e0222002@pref.wakayama.lg.jp,
白崎青少年の家 ,〒649-1123 由良町大引961-1電話0738-65-2351　ファックス0738-65-2352http://shirasaki.pya.jp/,すいせん祭,ピザ作り・クラフト・科学・火おこし・丸太切り・餅つき体験など,1月19日（日）10:00～15:00,,,,,,,,,,,http://shirasaki.pya.jp/ ,,,
白崎青少年の家 ,〒649-1123 由良町大引961-1電話0738-65-2351　ファックス0738-65-2352http://shirasaki.pya.jp/,バレンタインチョコ作り,チョコレート作り、ラッピング,2月8日（土）～9日（日）1泊2日,,小学4年～中学3年生,30人（先着順）,"4,500～5,340円",12月8日～1月25日,,,,,,http://shirasaki.pya.jp/ ,,,
潮岬青少年の家,〒649-3502　串本町潮岬669電話0735-62-6045　ファックス0735-62-0182http://omoshiro-yh.com/,ウィンターキャンプ＆芝焼き見学,真冬のキャンプ体験で、心身の成長とお互い協力し合う心を養う,1月25日（土）～26日（日）1泊2日,,小学4年～中学3年生,20人（先着順）,"4,240円",12月21日～1月11日,,,,,,http://omoshiro-yh.com/,,,
危険物取扱者（第4回）,試験,,,(1)2月9日（日）田辺市、新宮市(2)2月11日（祝）和歌山市 いずれも9:30～（会場は受験票で通知）,(1)2月9日（日）田辺市、新宮市(2)2月11日（祝）和歌山市 いずれも9:30～（会場は受験票で通知）,,,"甲種6,600円、乙種4,600円、丙種3,700円",,,郵送（簡易書留）、持参で12月10～19日（インターネットは12月7～16日17:00）に消防試験研究センター和歌山県支部〒640-8137和歌山市吹上2-1-22日赤会館6階電話073-425-3369,,,申込先、県庁危機管理・消防課、振興局総務県民課、市町村、消防本部,https://www.shoubo-shiken.or.jp/,,,
県立産業技術専門学院生徒,試験,,,2月5日（水）9:30～,和歌山産業技術専門学院（和歌山市）、田辺産業技術専門学院（田辺市）、東牟婁振興局（新宮市）,普通課程（8学科）＝高校卒業（見込）者および離転職者など短期課程（1学科）＝軽度の知的障害のある方,各科4～20人（選考）,"2,200円（県証紙、普通課程のみ）",1月14～24日に令和元年度高校卒業予定の方は在籍学校を通じて各産業技術専門学院、それ以外の方および短期課程希望者はハローワーク問い合わせ：和歌山産業技術専門学院電話073-477-1253県ウェブサイトでも掲載田辺産業技術専門学院電話0739-22-2259県ウェブサイトでも掲載,,,,,申込先,https://www.pref.wakayama.lg.jp/prefg/060701/,https://www.pref.wakayama.lg.jp/prefg/060702/,,
県育休等任期付職員採用,試験,,,1月19日（日）,,,,,,,インターネットで12月13日～1月6日に県人事委員会事務局※詳しくは要問合せ県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/210100/index.html,,,
事務補助職員採用,試験,,,[教養試験]1月11日（土）[面接試験]1月上旬～下旬,,,,,,県庁人事課、県教育庁総務課、県警察本部警務課※詳しくは要問合せ,郵送、インターネットで12月11日までに問合先,,,,,,,
